biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Pennsylvania,25-44,Midwest,True,True,True,False,True
Somewhat disapprove,Other,Did not vote,Can't be too careful,Book of fables,Agree,False,True,False,True,True,True,Male,Asian or Asian American,Graduated from college,"Under $15,000",Urban,Missouri,25-44,South,True,False,False,True,False
Strongly disapprove,Did not vote,Did not vote,Don’t know,Book of fables,Disagree,True,False,False,False,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,Pennsylvania,18-24,Midwest,False,False,False,True,False
Somewhat approve,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Georgia,45-64,Southeast,True,True,True,False,True
Disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,Less than high school,"Under $15,000",Suburban,California,25-44,Pacific,False,True,True,False,True
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Missouri,25-44,South,True,True,True,True,False
Strongly approve,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Pennsylvania,25-44,Midwest,True,True,True,True,False
Strongly disapprove,Did not vote,Other,Don’t know,Book of fables,Somewhat disagree,False,True,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Suburban,Tennessee,25-44,South,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Agree,True,False,False,False,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,South Carolina,65+,Southeast,True,True,True,False,True
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Agree,False,True,False,False,False,False,Male,Other,"Some college, no degree","Between $50,000 and $74,999",Rural,Idaho,25-44,Mountains,True,True,False,True,False
Strongly approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Don't know,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,New York,25-44,Northeast,False,False,True,True,False
Somewhat approve,Other,Joe Biden,Can trust,Inspired word,Don't know,False,True,True,True,False,False,Female,Hispanic or Latino,Graduated from college,"Between $100,000 and $150,000",Suburban,Louisiana,25-44,South,True,True,False,True,False
Neither approve nor disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Don't know,False,False,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Suburban,South Carolina,18-24,Southeast,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Somewhat disagree,False,True,True,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Rural,Michigan,65+,Midwest,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Texas,18-24,South,False,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,I don’t know,Don't know,False,False,True,True,False,False,Female,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Texas,25-44,South,True,True,True,True,False
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False
Strongly disapprove,Did not vote,Donald Trump,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,Black or African American,"Some college, no degree","Under $15,000",Suburban,California,25-44,Pacific,False,True,False,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Don't know,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,Minnesota,25-44,Midwest,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Wisconsin,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Donald Trump,Can't be too careful,Book of fables,Don't know,False,True,False,True,True,False,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Pennsylvania,25-44,Midwest,False,True,True,True,False
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,True,True,True,Female,Hispanic or Latino,"Some college, no degree","Between $50,000 and $74,999",Suburban,California,18-24,Pacific,False,True,False,True,False
Approve,Other,Joe Biden,Can trust,Inspired word,Disagree,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Wisconsin,25-44,Midwest,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,Black or African American,Graduated from college,"Between $15,000 and $49,999",Urban,Georgia,25-44,Southeast,True,True,False,True,False
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Urban,Wisconsin,18-24,Midwest,False,True,True,True,False
Disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Somewhat disagree,False,True,False,False,True,True,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Florida,25-44,Southeast,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Urban,New York,25-44,Northeast,False,True,True,False,True
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,False,False,False,False,Male,Black or African American,"Some college, no degree","Under $15,000",Suburban,Georgia,45-64,Southeast,True,True,False,True,False
Neither approve nor disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,California,25-44,Pacific,False,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Michigan,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Don’t know,I don’t know,Don't know,False,False,True,True,False,False,Male,Black or African American,"Some college, no degree","Under $15,000",Urban,Florida,25-44,Southeast,False,False,False,True,False
