date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-01-29,BR,Lula da Silva,positiva,44.1,41.41,42.28,43.07,44.76,45.5,46.41,2023-03-10
2023-01-29,BR,Lula da Silva,nsnr,8.4,5.97,6.77,7.53,9.2,9.95,10.76,2023-03-10
2023-01-29,BR,Lula da Silva,negativa,28.7,26.11,26.93,27.72,29.38,30.13,30.96,2023-03-10
2023-01-28,BR,Lula da Silva,regular,18.8,16.14,17.07,17.83,19.57,20.32,21.24,2023-03-10
2023-01-28,BR,Lula da Silva,positiva,44.1,41.35,42.26,43.06,44.81,45.58,46.45,2023-03-10
2023-01-28,BR,Lula da Silva,nsnr,8.5,5.91,6.78,7.55,9.3,10.05,10.96,2023-03-10
2023-01-28,BR,Lula da Silva,negativa,28.6,25.96,26.88,27.67,29.38,30.12,31.01,2023-03-10
2023-01-27,BR,Lula da Silva,regular,18.7,16.09,16.98,17.78,19.54,20.31,21.26,2023-03-10
2023-01-27,BR,Lula da Silva,positiva,44.2,41.35,42.25,43.05,44.88,45.66,46.51,2023-03-10
2023-01-27,BR,Lula da Silva,nsnr,8.5,5.96,6.78,7.56,9.34,10.13,11.05,2023-03-10
2023-01-27,BR,Lula da Silva,negativa,28.6,25.88,26.8,27.63,29.36,30.15,30.98,2023-03-10
2023-01-26,BR,Lula da Silva,regular,18.7,16.0,16.92,17.73,19.51,20.32,21.26,2023-03-10
2023-01-26,BR,Lula da Silva,positiva,44.2,41.37,42.22,43.05,44.91,45.69,46.61,2023-03-10
2023-01-26,BR,Lula da Silva,nsnr,8.5,5.91,6.75,7.57,9.4,10.21,11.12,2023-03-10
2023-01-26,BR,Lula da Silva,negativa,28.6,25.85,26.77,27.58,29.35,30.15,30.99,2023-03-10
2023-01-25,BR,Lula da Silva,regular,18.7,15.95,16.84,17.68,19.47,20.32,21.23,2023-03-10
2023-01-25,BR,Lula da Silva,positiva,44.2,41.32,42.23,43.06,44.96,45.78,46.63,2023-03-10
2023-01-25,BR,Lula da Silva,nsnr,8.6,5.89,6.75,7.6,9.46,10.29,11.25,2023-03-10
2023-01-25,BR,Lula da Silva,negativa,28.6,25.84,26.73,27.53,29.33,30.16,31.03,2023-03-10
2023-01-24,BR,Lula da Silva,regular,18.6,15.91,16.8,17.6,19.46,20.29,21.22,2023-03-10
2023-01-24,BR,Lula da Silva,positiva,44.2,41.26,42.22,43.06,44.98,45.81,46.7,2023-03-10
2023-01-24,BR,Lula da Silva,nsnr,8.6,5.96,6.8,7.63,9.52,10.35,11.32,2023-03-10
2023-01-24,BR,Lula da Silva,negativa,28.5,25.76,26.66,27.5,29.33,30.11,31.04,2023-03-10
2023-01-23,BR,Lula da Silva,regular,18.6,15.84,16.72,17.54,19.45,20.28,21.22,2023-03-10
2023-01-23,BR,Lula da Silva,positiva,44.2,41.28,42.24,43.07,45.01,45.84,46.77,2023-03-10
2023-01-23,BR,Lula da Silva,nsnr,8.7,5.98,6.84,7.68,9.56,10.44,11.36,2023-03-10
2023-01-23,BR,Lula da Silva,negativa,28.5,25.67,26.62,27.47,29.31,30.08,31.09,2023-03-10
2023-01-22,BR,Lula da Silva,regular,18.6,15.76,16.7,17.52,19.43,20.28,21.18,2023-03-10
2023-01-22,BR,Lula da Silva,positiva,44.3,41.33,42.24,43.08,45.03,45.87,46.82,2023-03-10
2023-01-22,BR,Lula da Silva,nsnr,8.7,6.01,6.89,7.7,9.6,10.5,11.42,2023-03-10
2023-01-22,BR,Lula da Silva,negativa,28.5,25.65,26.56,27.43,29.26,30.1,31.03,2023-03-10
2023-01-21,BR,Lula da Silva,regular,18.5,15.72,16.63,17.52,19.38,20.25,21.17,2023-03-10
2023-01-21,BR,Lula da Silva,positiva,44.3,41.34,42.24,43.11,45.06,45.89,46.83,2023-03-10
2023-01-21,BR,Lula da Silva,nsnr,8.7,6.03,6.97,7.75,9.64,10.56,11.47,2023-03-10
2023-01-21,BR,Lula da Silva,negativa,28.4,25.61,26.56,27.4,29.24,30.05,31.01,2023-03-10
2023-01-20,BR,Lula da Silva,regular,18.5,15.68,16.63,17.49,19.33,20.2,21.1,2023-03-10
2023-01-20,BR,Lula da Silva,positiva,44.3,41.33,42.26,43.14,45.1,45.92,46.81,2023-03-10
2023-01-20,BR,Lula da Silva,nsnr,8.8,6.07,6.97,7.79,9.67,10.58,11.51,2023-03-10
2023-01-20,BR,Lula da Silva,negativa,28.4,25.6,26.53,27.36,29.22,30.0,30.95,2023-03-10
2023-01-19,BR,Lula da Silva,regular,18.5,15.65,16.58,17.44,19.31,20.15,21.1,2023-03-10
2023-01-19,BR,Lula da Silva,positiva,44.3,41.38,42.3,43.17,45.08,45.91,46.8,2023-03-10
2023-01-19,BR,Lula da Silva,nsnr,8.8,6.17,7.02,7.83,9.71,10.6,11.49,2023-03-10
2023-01-19,BR,Lula da Silva,negativa,28.4,25.6,26.5,27.36,29.18,29.99,30.88,2023-03-10
2023-01-18,BR,Lula da Silva,regular,18.4,15.64,16.58,17.41,19.26,20.1,21.02,2023-03-10
2023-01-18,BR,Lula da Silva,positiva,44.4,41.45,42.33,43.2,45.09,45.9,46.77,2023-03-10
2023-01-18,BR,Lula da Silva,nsnr,8.9,6.2,7.08,7.88,9.74,10.58,11.54,2023-03-10
2023-01-18,BR,Lula da Silva,negativa,28.4,25.61,26.49,27.3,29.11,29.97,30.87,2023-03-10
2023-01-17,BR,Lula da Silva,regular,18.4,15.61,16.57,17.41,19.24,20.03,20.94,2023-03-10
2023-01-17,BR,Lula da Silva,positiva,44.4,41.48,42.37,43.25,45.08,45.88,46.8,2023-03-10
2023-01-17,BR,Lula da Silva,nsnr,8.9,6.24,7.16,7.93,9.77,10.61,11.49,2023-03-10
2023-01-17,BR,Lula da Silva,negativa,28.3,25.58,26.49,27.3,29.07,29.91,30.79,2023-03-10
