mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_bulk;ess_tail;r_hat
0.2;0.17;-0.13;0.52;0.0;0.0;12184.76;6402.1;1.0
0.15;0.17;-0.17;0.48;0.0;0.0;9780.39;6792.03;1.0
0.19;0.18;-0.13;0.55;0.0;0.0;10814.39;7072.49;1.0
0.23;0.18;-0.1;0.56;0.0;0.0;10678.92;7413.06;1.0
0.17;0.19;-0.19;0.52;0.0;0.0;10748.9;7344.42;1.0
0.11;0.18;-0.24;0.44;0.0;0.0;9803.92;5856.74;1.0
0.04;0.18;-0.28;0.37;0.0;0.0;9566.15;6576.39;1.0
-0.06;0.19;-0.41;0.29;0.0;0.0;9504.37;6563.4;1.0
-0.22;0.17;-0.55;0.1;0.0;0.0;8396.24;6623.67;1.0
-0.29;0.19;-0.64;0.08;0.0;0.0;9110.16;5951.0;1.0
-0.36;0.18;-0.71;-0.01;0.0;0.0;8317.38;6447.44;1.0
-0.25;0.18;-0.56;0.11;0.0;0.0;8800.53;6661.34;1.0
-0.14;0.18;-0.49;0.19;0.0;0.0;9355.99;6558.71;1.0
